Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
ALBARRACÍN,3,2020,118.2,25.6,-2.9,7.6
ALBARRACÍN,9,2020,13,30.2,-0.1,16.7
ALBARRACÍN,6,2020,19.6,33,4,17.9
ALBARRACÍN,2,2020,0,20.9,-2.9,8.3
ALBARRACÍN,12,2020,30,16.7,-7.1,4.2
ALBARRACÍN,4,2020,54,19.6,-0.8,10.7
ALBARRACÍN,11,2020,43.6,23.2,-3.3,8.5
ALBARRACÍN,8,2020,9.4,36.4,4,22
ALBARRACÍN,1,2020,36.2,16.4,-7.7,4.4
ALBARRACÍN,7,2020,4.6,36.6,9,22.8
ALBARRACÍN,10,2020,9.4,25.5,-1.1,11
ALBARRACÍN,5,2020,26.2,29.8,4.6,15.5
ALCAÑIZ,6,2020,34.2,34.2,8.7,20.6
ALCAÑIZ,1,2020,155.8,18.4,-5.6,5
ALCAÑIZ,11,2020,78.5,26.6,-2.7,10.7
ALCAÑIZ,8,2020,5.9,37.9,10,24.5
ALCAÑIZ,12,2020,24.4,17.8,-1.8,7
ALCAÑIZ,10,2020,11.2,27.7,2.5,14.9
ALCAÑIZ,9,2020,5.9,33.1,6.4,20.1
ALCAÑIZ,3,2020,51.2,24.6,-1.1,10.3
ALCAÑIZ,2,2020,0,21.3,-1.8,10.4
ALCAÑIZ,7,2020,1.7,38.9,11.3,24.6
ALCAÑIZ,5,2020,118.7,31.6,7.7,18.4
ALCAÑIZ,4,2020,67.1,22.7,1.9,13.7
ALHAMA DE ARAGÓN,8,2020,12.6,39.8,5,23.6
ALHAMA DE ARAGÓN,11,2020,30.8,24.4,-4.7,9.9
ALHAMA DE ARAGÓN,3,2020,80.2,27.8,-1.7,9.4
ALHAMA DE ARAGÓN,7,2020,14.4,41.1,9.9,24.6
ALHAMA DE ARAGÓN,9,2020,18.8,34,2.2,18.9
ALHAMA DE ARAGÓN,1,2020,37.4,15.7,-6.8,5.3
ALHAMA DE ARAGÓN,10,2020,28.8,28.4,-1.3,12.7
ALHAMA DE ARAGÓN,2,2020,0,22.9,-4,9.3
ALHAMA DE ARAGÓN,6,2020,52.4,35.5,5.5,19.7
ALHAMA DE ARAGÓN,5,2020,36.6,32.5,5,17.6
ALHAMA DE ARAGÓN,4,2020,79.2,22.2,-0.8,13.1
ALHAMA DE ARAGÓN,12,2020,22.8,17.1,-2.8,6
ALMUDÉVAR,3,2020,65.0,24.3,-0.2,10.3
ALMUDÉVAR,10,2020,37.6,25.2,0.2,13.2
ALMUDÉVAR,4,2020,69.4,24.0,3.1,13.8
ALMUDÉVAR,9,2020,28.0,32.9,4.5,19.6
ALMUDÉVAR,6,2020,21.6,33.8,8.3,20.6
ALMUDÉVAR,7,2020,4.6,38.4,11.2,24.4
ALMUDÉVAR,8,2020,3.6,37.4,9.8,24.0
ALMUDÉVAR,5,2020,52.6,32.6,8.5,18.8
ALMUDÉVAR,1,2020,57.8,17.8,-5.4,4.7
ALMUDÉVAR,2,2020,0.0,20.0,-1.1,10.2
ALMUDÉVAR,11,2020,38.6,24.7,-2.2,10.3
ALMUDÉVAR,12,2020,44.0,15.4,-2.9,6.2
ANDORRA,10,2020,14,23.7,3.6,13.7
ANDORRA,8,2020,34.6,35.2,9.5,23.3
ANDORRA,9,2020,10.2,29.5,7.4,19
ANDORRA,3,2020,58.6,22.8,-1,9
