Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
ALBARRACÍN,9,2016,6,36.2,4.7,18
ALBARRACÍN,10,2016,30.6,27,2.2,13.6
ALBARRACÍN,1,2016,15.8,18.4,-6.9,5.9
ALBARRACÍN,7,2016,1.2,36.3,4.7,22.2
ALBARRACÍN,8,2016,31.6,34.5,6.8,21.9
ALBARRACÍN,6,2016,22.8,32.2,1.7,18.6
ALBARRACÍN,5,2016,23.8,26,-4,12.6032258064516
ALBARRACÍN,2,2016,29.6,15.4,-10,5
ALBARRACÍN,3,2016,26.6,21.3,-6.4,5.3
ALBARRACÍN,12,2016,17.2,15.9,-6.3,4.8
ALBARRACÍN,4,2016,37.6,20.2,-3.4,8.7
ALBARRACÍN,11,2016,58.2,22.5,-3.7,6.6
ALCAÑIZ,12,2016,4.7,14.9,-1.9,5.2
ALCAÑIZ,11,2016,81.8,21.2,-0.4,9.2
ALCAÑIZ,9,2016,9,37.5,9.2,21.1
ALCAÑIZ,1,2016,17.3,20.6,-1.1,8.4
ALCAÑIZ,10,2016,34.1,29.8,2.8,15.3
ALCAÑIZ,8,2016,7.1,36.4,10.4,23.8
ALCAÑIZ,7,2016,7.1,38.5,9.2,24.5
ALCAÑIZ,6,2016,4.4,35.5,7.8,21.8
ALCAÑIZ,2,2016,68.8,20.9,-3.6,8.7
ALCAÑIZ,5,2016,20.6,30.6,2.8,16.3485057471264
ALCAÑIZ,3,2016,25,23.5,-0.6,9.2
ALCAÑIZ,4,2016,43.9,26,0.3,12.6
ALHAMA DE ARAGÓN,3,2016,32.8,24.2,-5,7.9
ALHAMA DE ARAGÓN,4,2016,63.8,23.4,-2.8,11.2
ALHAMA DE ARAGÓN,9,2016,4.8,39.4,6.1,20.6
ALHAMA DE ARAGÓN,10,2016,27.4,30.9,0.1,15.3
ALHAMA DE ARAGÓN,12,2016,7.6,17.2,-8.6,5.7
ALHAMA DE ARAGÓN,11,2016,52,25.9,-3.2,8.4
ALHAMA DE ARAGÓN,8,2016,0.4,39.7,7.1,24.4
ALHAMA DE ARAGÓN,7,2016,8.2,39.5,7.2,24.7
ALHAMA DE ARAGÓN,6,2016,0,37.9,4,21
ALHAMA DE ARAGÓN,1,2016,60,18.8,-2,7.8
ALHAMA DE ARAGÓN,5,2016,31.2,30.5,0.7,15.2
ALHAMA DE ARAGÓN,2,2016,40,18.2,-6.7,7.3
ALMUDÉVAR,2,2016,94.2,18,-2.7,7.6
ALMUDÉVAR,8,2016,1,34.5,10.8,23.5
ALMUDÉVAR,6,2016,17.6,33.8,8.4,21
ALMUDÉVAR,7,2016,31.6,36,9.5,23.8
ALMUDÉVAR,11,2016,118.8,19.2,-1,8.6
ALMUDÉVAR,3,2016,79.2,22.1,-2.2,8.5
ALMUDÉVAR,5,2016,59.6,28.3,2.9,15.3
ALMUDÉVAR,4,2016,78.2,22.4,0.3,11.6
ALMUDÉVAR,9,2016,24.6,35.2,8.3,20.8
ALMUDÉVAR,10,2016,32.8,28.6,2.7,15.4
ALMUDÉVAR,1,2016,39.4,17.4,-1.9,7.5
ALMUDÉVAR,12,2016,2.8,16.4,-3.2,5
ANDORRA,11,2016,67.7,19.2,1.1,8.8
ANDORRA,9,2016,13,34.1,10,20.2
ANDORRA,1,2016,9.2,17.4,-1.3,8.4
ANDORRA,2,2016,24.8,17.4,-4,7.4
ANDORRA,10,2016,29.8,25.7,5.2,15.1
ANDORRA,3,2016,24.4,21.3,-1.2,7.7
ANDORRA,8,2016,2.2,33.5,10.5,23.1
ANDORRA,4,2016,34.2,22.4,1.2,11
ANDORRA,7,2016,3.6,36.1,9.4,23.6
ANDORRA,5,2016,9,28,2,15.2
ANDORRA,6,2016,18.2,31.7,8.8,20.3
ANDORRA,12,2016,9.2,13.6,-6,6.2
