Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
ALBARRACÍN,4,2021,86.8,20.6,-2.3,11
ALBARRACÍN,6,2021,60.4,30.2,5.4,17.8
ALBARRACÍN,1,2021,60.5,19.8,-17.2,1.9
ALBARRACÍN,12,2021,8.6,22.5,-4.2,6.4
ALBARRACÍN,5,2021,47.2,27.1,3.4,13.8
ALBARRACÍN,11,2021,34.4,16.2,-3.7,5
ALBARRACÍN,10,2021,28.4,24.6,-0.1,12.4
ALBARRACÍN,7,2021,33,35.7,6.2,21.9
ALBARRACÍN,3,2021,4.8,20.6,-0.5,6.8
ALBARRACÍN,8,2021,105,39.1,8.4,22.2
ALBARRACÍN,9,2021,45.8,29.2,5.7,17
ALBARRACÍN,2,2021,41.3,19.4,-1.8,7.6
ALCAÑIZ,2,2021,17.5,23.1,1.2,10.6
ALCAÑIZ,7,2021,4.2,40.1,11.7,24.7
ALCAÑIZ,5,2021,41,32.5,6.3,17.9
ALCAÑIZ,1,2021,49.9,22.7,-6.7,6
ALCAÑIZ,4,2021,49.5,25.5,1.3,12.4
ALCAÑIZ,10,2021,22.2,28.9,2.5,15.4
ALCAÑIZ,3,2021,2.4,25.9,-0.5,10.7
ALCAÑIZ,9,2021,55.4,34.9,9.4,21.7
ALCAÑIZ,11,2021,61.8,19.3,-0.7,8.7
ALCAÑIZ,6,2021,62.1,37.2,10.5,22.3
ALCAÑIZ,12,2021,8,20.4,-1.1,7.5
ALCAÑIZ,8,2021,8.8,41.2,11.4,24
ALHAMA DE ARAGÓN,3,2021,8.6,24.6,-4.2,9.2
ALHAMA DE ARAGÓN,5,2021,48.6,31.2,3,15.5
ALHAMA DE ARAGÓN,4,2021,55.2,22.9,-1,11.4
ALHAMA DE ARAGÓN,6,2021,39.6,34.1,6.8,20.1
ALHAMA DE ARAGÓN,1,2021,31.2,18.1,-18.2,2.4
ALHAMA DE ARAGÓN,2,2021,29.6,21.5,-0.7,9.2
ALHAMA DE ARAGÓN,8,2021,15.8,41.9,9.4,23.8
ALHAMA DE ARAGÓN,9,2021,50.6,33.3,6.9,19.2
ALHAMA DE ARAGÓN,12,2021,12.8,17.9,-4.8,6.4
ALHAMA DE ARAGÓN,10,2021,28.2,27.4,-1.6,13.7
ALHAMA DE ARAGÓN,7,2021,20.6,39.5,8.7,23.2
ALHAMA DE ARAGÓN,11,2021,66.2,20.8,-4.7,6.9
ALMUDÉVAR,2,2021,28.0,18.4,0.4,9.8
ALMUDÉVAR,10,2021,41.6,25.8,0.2,14.5
ALMUDÉVAR,9,2021,26.2,32.0,7.7,20.2
ALMUDÉVAR,1,2021,27.2,18.7,-11.4,4.5
ALMUDÉVAR,12,2021,25.4,17.4,-0.4,6.5
ALMUDÉVAR,8,2021,12.8,38.5,10.6,23.4
ALMUDÉVAR,3,2021,0.0,23.0,-1.8,10.4
ALMUDÉVAR,6,2021,44.0,36.2,10.5,21.3
ALMUDÉVAR,4,2021,28.3,24.4,0.1,11.9
ALMUDÉVAR,5,2021,14.2,30.9,3.7,16.1
ALMUDÉVAR,7,2021,12.0,35.7,10.2,23.3
ALMUDÉVAR,11,2021,49.2,18.1,-1.5,8.6
ANDORRA,11,2021,53,15.6,0.4,7.1
ANDORRA,4,2021,12.8,20.1,0.1,10.4
ANDORRA,12,2021,8.6,18.2,-2.7,8
ANDORRA,1,2021,47,20.4,-5.9,4.7
ANDORRA,8,2021,14.2,38.5,10.7,22.8
ANDORRA,3,2021,5.6,21,-1.2,8.9
ANDORRA,2,2021,17.8,18.7,1.7,9.6
ANDORRA,7,2021,8.2,37.7,10.6,22.9
ANDORRA,5,2021,27.8,28,4.8,15.5
ANDORRA,10,2021,20,24.4,5.6,14.6
ANDORRA,6,2021,61.8,33.5,11.5,20.6
ANDORRA,9,2021,53.6,30,8.3,19.4
ARAGÜÉS DEL PUERTO,4,2021,130.4,22.4,-3.6,9.5
ARAGÜÉS DEL PUERTO,5,2021,59,26.9,-0.3,12.4
ARAGÜÉS DEL PUERTO,3,2021,10.2,21.9,-2.7,8.3
ARAGÜÉS DEL PUERTO,12,2021,269.6,18.4,-1.1,7
ARAGÜÉS DEL PUERTO,10,2021,127.2,22.9,1.8,13.2
ARAGÜÉS DEL PUERTO,7,2021,31,34.2,7.5,20.6
ARAGÜÉS DEL PUERTO,8,2021,27.4,37.6,8,21.4
ARAGÜÉS DEL PUERTO,11,2021,121.4,16.5,0.7,7.9
ARAGÜÉS DEL PUERTO,6,2021,65.6,31.5,6.4,18.1
ARAGÜÉS DEL PUERTO,1,2021,187.6,16.8,-9.2,2.9
ARAGÜÉS DEL PUERTO,2,2021,120.6,18.0,-1.3,8.3
ARAGÜÉS DEL PUERTO,9,2021,123.4,31,4.8,17.8
ARANDA DE MONCAYO,10,2021,23.2,25.1,2.5,13.1
ARANDA DE MONCAYO,6,2021,75.5,32,8,18.4
ARANDA DE MONCAYO,9,2021,57,31.5,6.9,17.9
ARANDA DE MONCAYO,3,2021,8.2,22,-2,8
ARANDA DE MONCAYO,5,2021,56.4,28,2,14.1
ARANDA DE MONCAYO,2,2021,25.8,20,0,8.4
ARANDA DE MONCAYO,1,2021,46.2,17.5,-8,3.9
ARANDA DE MONCAYO,11,2021,61.6,18,-0.4,6.7
ARANDA DE MONCAYO,12,2021,11.1,20,-4.7,7.4
ARANDA DE MONCAYO,8,2021,21,40.3,7.8,21.8
ARANDA DE MONCAYO,7,2021,17.8,36.2,8.4,21.7
ARANDA DE MONCAYO,4,2021,74.8,19,-3,9.1
AÍNSA-SOBRARBE,2,2021,75.6,19.6,-0.8,9
AÍNSA-SOBRARBE,5,2021,45.2,27.9,2.5,15.4
AÍNSA-SOBRARBE,6,2021,74,33.2,8.5,20
AÍNSA-SOBRARBE,7,2021,15,37.4,10,23.4
AÍNSA-SOBRARBE,8,2021,20.4,41.5,10.5,24
AÍNSA-SOBRARBE,11,2021,65,21.2,-2,7.8
AÍNSA-SOBRARBE,1,2021,91.8,19.4,-8.4,3.3
AÍNSA-SOBRARBE,12,2021,31.8,17.1,-3.8,6
AÍNSA-SOBRARBE,10,2021,66.8,24.5,3.3,13.9
AÍNSA-SOBRARBE,9,2021,107.2,32.3,6.9,19.2
AÍNSA-SOBRARBE,4,2021,91.6,24.3,-0.5,11.4
AÍNSA-SOBRARBE,3,2021,5,23,-2.1,10
BAILO,6,2021,60.6,31.9,8.4,19
BAILO,7,2021,0.6,36.1,9,21.7
BAILO,8,2021,4.8,39.9,8.9,22.4
BAILO,4,2021,77.2,22.8,-0.9,10.5
BAILO,2,2021,63,18.8,0.8,9.2
BAILO,1,2021,79.2,16.2,-9.4,3.4
BAILO,10,2021,51.2,23.3,2.2,13.4
BAILO,11,2021,62.4,16.4,-0.8,6.9
BAILO,9,2021,79.4,32.3,6.6,18.5
BAILO,5,2021,40.2,27.6,0.6,13.5
BAILO,3,2021,7.8,21.1,-2.6,9.1
BAILO,12,2021,92.4,17.4,-4.1,6.2
BALLOBAR,8,2021,5.8,40.6,13,25.3
BALLOBAR,11,2021,50.6,20.8,-1.4,8.9
BALLOBAR,3,2021,0,24,-1.7,11.3
BALLOBAR,9,2021,66.4,33.4,10.6,22.2
BALLOBAR,12,2021,5.8,19.3,-0.6,7.1
BALLOBAR,6,2021,12.6,37.4,12.2,23.2
BALLOBAR,5,2021,21,32.5,6,18.1
BALLOBAR,10,2021,17.4,27.4,2.8,15.5
BALLOBAR,1,2021,28,21.6,-6.8,5.2
BALLOBAR,7,2021,20.4,38.4,13,25.5
BALLOBAR,2,2021,8.5,20.2,1.4,10.8
BALLOBAR,4,2021,23.4,25.3,-3,13.2
BARBASTRO,6,2021,54.8,36.7,8.7,22.2
BARBASTRO,8,2021,6.6,39.9,10.4,24.2
BARBASTRO,3,2021,0,24.2,-3.2,10.4
BARBASTRO,7,2021,9.4,37.7,9.5,24.4
BARBASTRO,12,2021,5,19.6,-2.9,6
BARBASTRO,1,2021,61.2,20.9,-7.8,4
BARBASTRO,2,2021,17.2,19.8,0.1,10.2
BARBASTRO,5,2021,22,33.3,3.1,17.3
BARBASTRO,10,2021,44,26.6,2.8,14.7
BARBASTRO,11,2021,60.2,21.4,-2.9,7.7
BARBASTRO,4,2021,43.8,25.7,-1.3,12.6
BARBASTRO,9,2021,74,32.9,7.2,21.3
BELCHITE,11,2021,54.8,18.9,-1,9.3
BELCHITE,9,2021,46.8,33.1,9.7,20.4
BELCHITE,8,2021,4.7,42.7,11.2,24.4
BELCHITE,1,2021,27.6,22.7,-5.1,6.3
BELCHITE,3,2021,1.2,24,-0.6,10.2
BELCHITE,12,2021,6.2,20.2,-1.2,6.9
BELCHITE,10,2021,13.7,27.2,1.5,14.6
BELCHITE,5,2021,37.7,32.8,5.2,17.4
BELCHITE,2,2021,15.6,21.6,-0.3,9.6
BELCHITE,6,2021,33.4,37.3,9.9,22
BELCHITE,7,2021,10.4,39.6,11.4,24.7
BELCHITE,4,2021,43,25,0.1,12
BELLO,4,2021,74.7,21.6,-4.9,8.9
BELLO,10,2021,22.8,25.3,-2.5,11.7
BELLO,5,2021,18.5,26.6,0.8,12.8
BELLO,6,2021,27.8,30.5,5.2,17.8
BELLO,9,2021,61.6,30.1,4.5,17
BELLO,1,2021,44.7,17.3,-25.4,-0.7
BELLO,2,2021,25.6,19.7,0.1,8.1
BELLO,12,2021,14.4,18.3,-5.9,5.9
BELLO,8,2021,13.6,39.6,7.5,21.9
BELLO,11,2021,79.6,16.1,-6,4.4
BELLO,3,2021,3.6,22,-6.4,6.8
BELLO,7,2021,11.8,38.2,4.6,20.9
BENABARRE,5,2021,45.7,27.2,3.4,14.2
BENABARRE,10,2021,44.1,24,3.4,13.4
BENABARRE,2,2021,43.9,17.6,0,8.5
BENABARRE,9,2021,71.1,31.4,8,19.3
BENABARRE,11,2021,54,18,-1.2,7.3
BENABARRE,12,2021,6.5,17.5,-2.4,6.4
BENABARRE,8,2021,4,39.8,10.5,22.9
BENABARRE,1,2021,83.2,16.8,-7.4,3
BENABARRE,6,2021,31.2,33,8.4,19.6
BENABARRE,7,2021,11.6,35.2,9.2,22.1
BENABARRE,4,2021,94.4,21.4,-0.2,10
BENABARRE,3,2021,7.2,21,-3,8.8
BIELSA,12,2021,144,17.4,-4.1,4.4
BIELSA,10,2021,67,23.5,-0.1,11.4
BIELSA,11,2021,62.4,17.3,-2.4,6.3
BIELSA,7,2021,86.7,36.2,7.5,19.9
BIELSA,8,2021,68.6,37.2,7.1,20
BIELSA,1,2021,108.2,15.4,-10,2.5
BIELSA,5,2021,101.4,25.6,-0.1,12.8
BIELSA,2,2021,89,17.5,-1.9,6.8
BIELSA,9,2021,150.6,30.3,5.2,16.1
BIELSA,4,2021,178.4,22.7,-2.1,9.3
BIELSA,6,2021,201.8,32.1,5.4,17
BIELSA,3,2021,14,22.1,-2.9,7.9
BIESCAS,1,2021,161,13.5,-12.1,0.9
BIESCAS,11,2021,73.2,17.7,-3.4,5
BIESCAS,10,2021,176.8,22.2,-1.2,10.3
BIESCAS,4,2021,78.5,20.6,-2.8,8.3
BIESCAS,2,2021,127.8,16.6,-3.4,6
BIESCAS,6,2021,118.4,28.4,5.4,15.8
BIESCAS,5,2021,94.8,23.5,-1.2,11.1
BIESCAS,12,2021,196.6,15,-5.6,3.6
BIESCAS,7,2021,26.2,31.6,7.1,18.3
BIESCAS,3,2021,8.2,20,-4.4,6.5
BIESCAS,8,2021,58.2,35.2,6.1,18.7
BIESCAS,9,2021,104,28.1,4.6,15.2
BOQUIÑENI,12,2021,13.9,18.3,-0.5,6.3
BOQUIÑENI,9,2021,21.6,32.7,9,20.1
BOQUIÑENI,3,2021,3.7,24.4,-1.5,10.2
BOQUIÑENI,8,2021,1.9,41,10.9,23.5
BOQUIÑENI,7,2021,5.3,38.5,11.7,23.7
BOQUIÑENI,6,2021,54.1,35.5,10.6,21.3
BOQUIÑENI,11,2021,79.5,18.1,-2.2,8.8
BOQUIÑENI,10,2021,17.9,26.7,1.5,14.3
BOQUIÑENI,4,2021,43,25.3,1.3,12.1
BOQUIÑENI,2,2021,15.5,21,-0.1,10
BOQUIÑENI,5,2021,28.5,33.5,4.3,16.7
BOQUIÑENI,1,2021,31.8,19.4,-6.1,5.5
BORJA,3,2021,1.4,23.5,0,11.2
BORJA,11,2021,102.8,17.2,-1.7,9
BORJA,1,2021,40.6,20,-3,6.9
BORJA,6,2021,102,35.5,11,22
BORJA,9,2021,79.2,31.8,8.8,19.5
BORJA,7,2021,7.4,38.9,10.3,23.3
BORJA,5,2021,46.4,32,5.5,17.5
BORJA,4,2021,45.5,24.5,3.5,12.8
BORJA,2,2021,16.3,21.5,4,11
BORJA,10,2021,14,26.5,0.5,14.5
BORJA,12,2021,21.2,15,-1.4,5.4
BORJA,8,2021,10.9,40,13,24.9
BUJARALOZ,11,2021,42.2,19.2,-2.3,8.1
BUJARALOZ,8,2021,12,39.3,10.4,23
BUJARALOZ,2,2021,13.2,19.3,1.8,9.4
BUJARALOZ,5,2021,30.5,32.5,5.5,17
BUJARALOZ,1,2021,53.8,20.2,-11.2,4.7
BUJARALOZ,7,2021,9.8,35.9,10,23
BUJARALOZ,3,2021,0,23.8,-2.1,10.1
BUJARALOZ,10,2021,22.2,27.8,2,14.2
BUJARALOZ,4,2021,39.2,24.4,-2.2,11.8
BUJARALOZ,9,2021,84.6,33.6,7.5,20.4
BUJARALOZ,6,2021,42,35.8,10.7,21.2
BUJARALOZ,12,2021,9.4,19.3,-1.6,6.7
CALAMOCHA,8,2021,38.8,39.9,8.6,22.5
CALAMOCHA,10,2021,27,26.8,-2.2,12.7
CALAMOCHA,3,2021,8.4,24.4,-6,7.7
CALAMOCHA,12,2021,15.6,19.4,-5.4,6.6
CALAMOCHA,4,2021,91.4,22.8,-2.2,9.9
CALAMOCHA,2,2021,22,20.2,-0.8,8.6
CALAMOCHA,11,2021,74.8,16.6,-4.6,5.3
CALAMOCHA,9,2021,51,31.2,5.6,18
CALAMOCHA,1,2021,39.6,19.2,-21.3,0.6
CALAMOCHA,7,2021,14,38.2,6.7,21.9
CALAMOCHA,6,2021,80.6,32.7,6.1,19.1
CALAMOCHA,5,2021,50.4,28.7,3,14.6
CALATAYUD,8,2021,10,41.8,10.7,23.9
CALATAYUD,5,2021,51.8,31.3,5.8,16.5
CALATAYUD,12,2021,11.2,17.5,-4.7,6.9
CALATAYUD,3,2021,2.2,24.3,-3.3,9.6
CALATAYUD,7,2021,31.4,39.7,10.2,23.9
CALATAYUD,9,2021,42.4,33.3,6.3,19.7
CALATAYUD,4,2021,96.2,22.7,-0.1,11.9
CALATAYUD,11,2021,85.6,18.2,-3.3,7.2
CALATAYUD,10,2021,29.4,28.3,-0.2,14
CALATAYUD,1,2021,49.2,19.6,-15.4,3.6
CALATAYUD,6,2021,157.8,35.9,8.9,20.8
CALATAYUD,2,2021,44,23.6,0.7,10
CAPELLA,5,2021,67,28.9,2.1,14.9
CAPELLA,6,2021,49,33.6,7.2,19.8
CAPELLA,11,2021,66.8,19.4,-3.2,6.6
CAPELLA,1,2021,67.2,18.5,-10.3,1.9
CAPELLA,7,2021,20,36.8,7.9,22.8
CAPELLA,10,2021,48.8,25.2,2.7,13.5
CAPELLA,2,2021,46,18.8,-1.5,8.5
CAPELLA,12,2021,6.4,16.7,-5.3,5
CAPELLA,9,2021,111,32.9,7.2,19.3
CAPELLA,4,2021,119.8,24,-1.9,10.5
CAPELLA,8,2021,10.2,40.1,9.7,23.1
CAPELLA,3,2021,6.2,23.1,-5,8.6
CASPE,2,2021,13.4,20,2.9,11.2
CASPE,10,2021,16.6,28,5,16.7
CASPE,1,2021,29.2,21.8,-2.7,6.9
CASPE,4,2021,34.8,24,3.9,13.5
CASPE,6,2021,42.8,37.1,12.4,23.4
CASPE,8,2021,6.6,43.2,14.1,26.1
CASPE,7,2021,6.6,40,15.2,26.3
CASPE,9,2021,53.3,33.5,12.5,22.8
CASPE,5,2021,22.2,34.2,7.7,19.2
CASPE,11,2021,54.6,18.6,1.3,10
