Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
ALBARRACÍN,2,2015,19.8,12.8,-10.2,2.4
ALBARRACÍN,1,2015,25.2,17.9,-7.2,3.7
ALBARRACÍN,5,2015,28.2,33.2,1.5,15.1
ALBARRACÍN,8,2015,23.6,36,7.3,21.3
ALBARRACÍN,7,2015,18.6,36.4,12.8,24.5
ALBARRACÍN,4,2015,23.6,22.1,-1.2,10.4
ALBARRACÍN,3,2015,88.2,22.6,-4.7,7.3
ALBARRACÍN,6,2015,26.8,30.3,3.8,18.1
ALBARRACÍN,12,2015,0,19.9,-3.3,7.7
ALBARRACÍN,10,2015,31,22,-2.4,12.1
ALBARRACÍN,9,2015,27.6,26.7,3.5,15.6
ALBARRACÍN,11,2015,32,22.7,-5.9,8.8
ALCAÑIZ,5,2015,5.1,33.9,5.3,18.5
ALCAÑIZ,1,2015,25.9,19.3,-2.9,6.5
ALCAÑIZ,8,2015,14.1,37.6,10.5,24
ALCAÑIZ,2,2015,25.8,18.1,-2.9,6.2
ALCAÑIZ,7,2015,37.2,42.3,13.6,26.5
ALCAÑIZ,4,2015,11.2,26.7,0.4,13.7
ALCAÑIZ,3,2015,88.6,23.1,-1.8,10.7
ALCAÑIZ,10,2015,5.5,26.6,2.4,15.1
ALCAÑIZ,12,2015,0.8,17.8,-3,6.6
ALCAÑIZ,11,2015,30.1,23.4,-0.7,11
ALCAÑIZ,6,2015,18.8,34.7,10,22.1
ALCAÑIZ,9,2015,21.8,30.1,8.4,18.8
ALHAMA DE ARAGÓN,8,2015,27.8,39.5,8.4,23.7
ALHAMA DE ARAGÓN,3,2015,54.2,25.3,-5.6,9.2
ALHAMA DE ARAGÓN,9,2015,16.6,32.4,5.5,18.6
ALHAMA DE ARAGÓN,12,2015,2.4,19.8,-5.9,7.4
ALHAMA DE ARAGÓN,10,2015,36.2,25.8,-0.1,14.7
ALHAMA DE ARAGÓN,6,2015,43.4,33.8,6.6,20.6
ALHAMA DE ARAGÓN,11,2015,29.6,24.5,-3.9,11
ALHAMA DE ARAGÓN,5,2015,7.2,36.5,3.7,17.4
ALHAMA DE ARAGÓN,2,2015,19.2,14.8,-8.3,4.3
