Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
ALBARRACÍN,7,2017,12.6,36.8,6.6,22.4
ALBARRACÍN,8,2017,40,34.7,7.8,22.1
ALBARRACÍN,6,2017,67.4,35.2,6.3,20.6
ALBARRACÍN,11,2017,5.8,19,-7.7,6.6
ALBARRACÍN,3,2017,44.8,25,-2.9,8.7
ALBARRACÍN,9,2017,9.4,29.3,1.6,16.2
ALBARRACÍN,10,2017,11.8,27.9,0.4,14.1
ALBARRACÍN,4,2017,12,24.1,-3,10.0566666666667
ALBARRACÍN,1,2017,9.1,14.5,-11.3,2.4
ALBARRACÍN,12,2017,15,15.8,-6.5,3.7
ALBARRACÍN,5,2017,39.4,29.6,-0.6,15.4
ALBARRACÍN,2,2017,19.2,19,-4.2,6.1
ALCAÑIZ,8,2017,31.3,38.2,10.4,24.2
ALCAÑIZ,2,2017,23.8,18.8,-1.8,8.6
ALCAÑIZ,7,2017,23.8,37.8,12.2,24.8
ALCAÑIZ,3,2017,36.2,27.1,1,11.7
ALCAÑIZ,6,2017,52,37.8,9.7,23.9
ALCAÑIZ,10,2017,10,28.7,4,16.6
ALCAÑIZ,9,2017,9.4,31.5,5.7,18.3
ALCAÑIZ,4,2017,10,28.5,-0.2,13.2416666666667
ALCAÑIZ,11,2017,2,21.2,-3.9,9.2
ALCAÑIZ,5,2017,31.1,34.4,2.3,18.7
ALCAÑIZ,12,2017,1.9,19.1,-6.4,6.2
ALCAÑIZ,1,2017,19.6,17.5,-6,5.2
ALHAMA DE ARAGÓN,2,2017,29.6,22,-3.2,7.8
ALHAMA DE ARAGÓN,11,2017,4.8,22.7,-6.8,8.5
ALHAMA DE ARAGÓN,9,2017,5.4,33.1,3.2,18.5
ALHAMA DE ARAGÓN,4,2017,10.6,30.2,-2.9,12.9
ALHAMA DE ARAGÓN,6,2017,83,39,8.6,23.7
ALHAMA DE ARAGÓN,8,2017,73.2,39.9,7,24.4
ALHAMA DE ARAGÓN,12,2017,10.8,17.2,-10,5.3
ALHAMA DE ARAGÓN,1,2017,12,18.6,-11,4.4
ALHAMA DE ARAGÓN,7,2017,11,40.4,8.7,24.6
ALHAMA DE ARAGÓN,10,2017,2.8,33,0.6,16.1
ALHAMA DE ARAGÓN,5,2017,50,34.6,1.4,18
ALHAMA DE ARAGÓN,3,2017,19.2,28.8,-0.7,11.3
ALMUDÉVAR,11,2017,5.8,20.5,-3.8,8.9
ALMUDÉVAR,8,2017,31.4,36.5,10.3,23.2
ALMUDÉVAR,6,2017,66.4,37.4,9.6,23.6
ALMUDÉVAR,2,2017,46,17.5,-1,8.3
ALMUDÉVAR,3,2017,47.2,25.5,1.9,11.3
ALMUDÉVAR,4,2017,11.8,26.6,-0.2,12.9
ALMUDÉVAR,1,2017,7.6,17,-7.6,4.5
ALMUDÉVAR,7,2017,7.4,34.7,10.8,23.6
ALMUDÉVAR,9,2017,20.6,31,5.2,18
ALMUDÉVAR,5,2017,31.6,33.4,2.1,17.8
ALMUDÉVAR,12,2017,24,15,-3,5.6
ALMUDÉVAR,10,2017,34.2,29,2.6,16.4
ANDORRA,12,2017,1.6,16,-2.7,6.2
ANDORRA,10,2017,0.6,27.3,4.8,16.2
ANDORRA,3,2017,29.8,25.6,0.9,11.1
ANDORRA,7,2017,33,34.8,9.7,23.2
ANDORRA,5,2017,17.2,30.2,2.4,17.5
ANDORRA,11,2017,1,18,-1.1,9
ANDORRA,4,2017,14.6,24.8,0.1,12.8
ANDORRA,9,2017,15.6,28.3,6.2,17.3
ANDORRA,1,2017,16.2,16.8,-6.5,4.6
ANDORRA,8,2017,22.6,34.8,10.1,23
ANDORRA,6,2017,34,35.2,8.5,22.6
ANDORRA,2,2017,19.6,17.1,0.7,8.1
ARAGÜÉS DEL PUERTO,12,2017,163,16.5,-3.6,4.5
ARAGÜÉS DEL PUERTO,3,2017,94.8,23.3,-1.4,9.5
ARAGÜÉS DEL PUERTO,6,2017,101,33.4,4.7,20.2
ARAGÜÉS DEL PUERTO,2,2017,130.2,19,-4.4,6.9
ARAGÜÉS DEL PUERTO,11,2017,28.6,19.2,-3.7,8.5
ARAGÜÉS DEL PUERTO,10,2017,30.2,27.4,2.9,15.8
ARAGÜÉS DEL PUERTO,4,2017,39,23.5,-2.4,8
ARAGÜÉS DEL PUERTO,9,2017,39.4,27.5,2.6,14.9
ARAGÜÉS DEL PUERTO,7,2017,32,32.5,6,21.4
ARAGÜÉS DEL PUERTO,8,2017,35.6,34.4,6.4,21.5
ARAGÜÉS DEL PUERTO,5,2017,99.6,29,0.4,15.2
ARAGÜÉS DEL PUERTO,1,2017,102.8,10,-10,4.4
