Estación,Mes,Año,Precip.,T. máx. abs.,T. mín. abs.,T. media de medias
ALBARRACÍN,12,2019,38.4,17.7,-4.8,6.4
ALBARRACÍN,4,2019,94.8,21.1,-3.3,8.2
ALBARRACÍN,11,2019,30.4,19.8,-3.2,6.8
ALBARRACÍN,1,2019,4.6,15.2,-9,3
ALBARRACÍN,2,2019,4.2,21.3,-4.8,5.9
ALBARRACÍN,3,2019,23.4,23,-5.6,7.3
ALBARRACÍN,5,2019,17.2,27.1,-0.9,12.5
ALBARRACÍN,6,2019,2,36.8,0.5,18.5
ALBARRACÍN,9,2019,43.2,31,4.5,17
ALBARRACÍN,7,2019,68.2,36.3,9.1,22.3
ALBARRACÍN,8,2019,20.4,34.3,9.5,21.7
ALBARRACÍN,10,2019,31,27.4,2.4,13.5
ALCAÑIZ,3,2019,8.3,23.9,0,11.3
ALCAÑIZ,7,2019,20.4,40.3,13.1,25.9
ALCAÑIZ,8,2019,11,39.7,13.2,24.7
ALCAÑIZ,12,2019,27.8,22.3,-4,8.5
ALCAÑIZ,9,2019,20.1,31.4,9.4,20.3
ALCAÑIZ,1,2019,12,15.4,-5.9,5.5
ALCAÑIZ,2,2019,3.3,23.2,-3.5,8.3
ALCAÑIZ,4,2019,35.9,24.8,-1.6,12.8
ALCAÑIZ,5,2019,25.6,30,0.8,16
ALCAÑIZ,6,2019,5.1,41.2,4.9,21.9
ALCAÑIZ,10,2019,44.5,29.9,5.9,16.5
ALCAÑIZ,11,2019,29,24.6,-0.2,10.3
ALHAMA DE ARAGÓN,9,2019,59,30.8,5.8,18.6
ALHAMA DE ARAGÓN,4,2019,71.2,24.4,-2.1,10.6
ALHAMA DE ARAGÓN,7,2019,56.2,38.7,10.7,24.7
ALHAMA DE ARAGÓN,11,2019,61.6,20.3,-2.4,8.5
ALHAMA DE ARAGÓN,12,2019,30.4,18.5,-4,7.5
ALHAMA DE ARAGÓN,1,2019,16.2,16,-8.4,4.5
ALHAMA DE ARAGÓN,2,2019,5.2,24.1,-6.6,7.1
ALHAMA DE ARAGÓN,3,2019,11.4,26.4,-4.2,9.6
ALHAMA DE ARAGÓN,5,2019,39.8,31.2,0.4,14.6
ALHAMA DE ARAGÓN,6,2019,11,41.3,2.9,21.3
ALHAMA DE ARAGÓN,8,2019,61.2,37.6,9.6,23.7
ALHAMA DE ARAGÓN,10,2019,24.2,30.8,3.6,15.2
ALMUDÉVAR,9,2019,43,31,6.6,19.9
ALMUDÉVAR,12,2019,45.4,15.5,-2.7,7.2
ALMUDÉVAR,5,2019,58.2,30.3,0.8,15.3
ALMUDÉVAR,11,2019,62.8,22.7,-2.7,8.7
ALMUDÉVAR,1,2019,23.2,15.6,-2.9,4.9
ALMUDÉVAR,2,2019,0.8,23.6,-2.5,8.3
ALMUDÉVAR,3,2019,6.4,24.6,-2,10.5
ALMUDÉVAR,4,2019,49.2,24.2,-0.6,12.1
ALMUDÉVAR,6,2019,6.8,40.9,5.7,21.8
ALMUDÉVAR,7,2019,77,37.4,11.2,24.7
ALMUDÉVAR,8,2019,68.8,36.8,11,24
ALMUDÉVAR,10,2019,43.8,28.2,5.6,16
ANDORRA,11,2019,34.4,21.8,0.5,9
ANDORRA,2,2019,0.8,21.2,-1.3,8.4
ANDORRA,6,2019,5.6,39.3,5.6,21.2
ANDORRA,7,2019,19,36.7,12.8,24.6
ANDORRA,8,2019,5,37.6,13.3,23.5
ANDORRA,12,2019,34.6,19,-2.8,8.6
ANDORRA,1,2019,13.8,14.6,-3.1,5.1
ANDORRA,3,2019,11.8,20.8,0.4,10.3
ANDORRA,9,2019,20.6,29,9.3,19.2
ANDORRA,4,2019,36.6,22.6,-0.6,10.8
ANDORRA,5,2019,23,27.5,4.1,14.6
ANDORRA,10,2019,32,28.2,5.7,15.9
ARAGÜÉS DEL PUERTO,6,2019,70.8,36.5,1.6,19.1
ARAGÜÉS DEL PUERTO,10,2019,111,26.1,4.5,13.9
ARAGÜÉS DEL PUERTO,9,2019,24.8,28.2,5.5,17.8
ARAGÜÉS DEL PUERTO,1,2019,137.8,16.1,-5.2,4.5
ARAGÜÉS DEL PUERTO,2,2019,30.2,22.3,-4.9,8
ARAGÜÉS DEL PUERTO,11,2019,273,15.5,-4,4.8
ARAGÜÉS DEL PUERTO,3,2019,14,22.2,-1.1,8.8
ARAGÜÉS DEL PUERTO,4,2019,118.8,20.4,-2.3,8.7
ARAGÜÉS DEL PUERTO,12,2019,177,16.7,-2.8,6.9
ARAGÜÉS DEL PUERTO,5,2019,95.6,25.7,-1.1,11.5
ARAGÜÉS DEL PUERTO,7,2019,64.4,34.9,8.3,22.3
ARAGÜÉS DEL PUERTO,8,2019,57.2,32.3,8.5,21.5
ARANDA DE MONCAYO,3,2019,9.5,24.1,-1.7,9.5
ARANDA DE MONCAYO,11,2019,48.2,19.2,-0.9,8
ARANDA DE MONCAYO,1,2019,10.8,15.2,-3.2,4.4
ARANDA DE MONCAYO,2,2019,5.8,17.5,-1.1,6
ARANDA DE MONCAYO,12,2019,42.5,18.9,-4.9,7.4
ARANDA DE MONCAYO,4,2019,87.3,22.3,-2.7,9.5
ARANDA DE MONCAYO,5,2019,36.5,27.5,0.8,13.5
ARANDA DE MONCAYO,6,2019,0,39,3.7,20.4
ARANDA DE MONCAYO,9,2019,28.1,29.6,6.6,17.9
ARANDA DE MONCAYO,7,2019,35.3,36.2,10.8,23.4
ARANDA DE MONCAYO,8,2019,39,35.9,11.3,22.5
ARANDA DE MONCAYO,10,2019,26.6,29.4,4.6,14.6
AÍNSA-SOBRARBE,10,2019,177.6,29.9,5.4,15.3
AÍNSA-SOBRARBE,1,2019,38.2,16.1,-6.1,3.6
AÍNSA-SOBRARBE,3,2019,8.4,23.3,-0.6,10.6
AÍNSA-SOBRARBE,5,2019,52.8,27.7,-0.3,14.7
AÍNSA-SOBRARBE,8,2019,60.2,36.6,12.3,24.4
AÍNSA-SOBRARBE,9,2019,22.4,31.3,8.4,20.3
AÍNSA-SOBRARBE,11,2019,102.6,17.6,-3.2,7.3
AÍNSA-SOBRARBE,2,2019,4.6,22.6,-4.7,7.9
AÍNSA-SOBRARBE,12,2019,108,15.4,-1.8,6.7
AÍNSA-SOBRARBE,4,2019,127.2,23.2,-1.7,11.4
AÍNSA-SOBRARBE,6,2019,22.4,40.4,4.3,21.2
AÍNSA-SOBRARBE,7,2019,34.4,39,13,25.2
BAILO,4,2019,89.6,22,-0.1,10.2
BAILO,12,2019,129.8,15.3,-2.7,6.6
BAILO,8,2019,38.4,34.9,9.1,22.5
BAILO,9,2019,24.8,29.7,6.1,18.5
BAILO,1,2019,70.2,14.8,-4.4,4.1
BAILO,2,2019,20,22.5,-0.8,7.6
BAILO,11,2019,178.4,17.2,-2.4,6.4
BAILO,3,2019,15.8,23.6,-1.3,9.3
BAILO,5,2019,86.6,27.3,-1.1,12.9
BAILO,6,2019,70,38.3,3,20.1
BAILO,7,2019,55.4,36.8,9,23.5
BAILO,10,2019,74,27.2,4.9,14.7
BALLOBAR,10,2019,64.4,30.6,6.6,16.9
BALLOBAR,8,2019,10.2,39.9,13.7,26
BALLOBAR,12,2019,30.8,18.7,0.4,8.7
BALLOBAR,1,2019,12.2,17.9,-3.9,5.1
BALLOBAR,2,2019,0.4,23.3,-3,8.5
BALLOBAR,3,2019,1.8,24.6,0,11.9
BALLOBAR,4,2019,45.2,25.7,2.6,13.7
BALLOBAR,5,2019,33.6,29.8,4.2,17.3
BALLOBAR,6,2019,5,42.2,7.6,23
BALLOBAR,7,2019,27.6,39.9,14.4,26.8
BALLOBAR,9,2019,5.6,32.3,10.2,21.7
BALLOBAR,11,2019,17.6,23.5,-2.1,10.4
BARBASTRO,2,2019,1.8,25.1,-6.3,7.9
BARBASTRO,3,2019,11,24.9,-1.3,10.8
BARBASTRO,10,2019,103.6,30.6,5.4,15.8
BARBASTRO,11,2019,29.8,22.1,-3.6,8.9
BARBASTRO,12,2019,46.2,17.7,-0.7,7.8
BARBASTRO,9,2019,20.2,32.2,7.3,20.8
BARBASTRO,1,2019,16.4,19.3,-7.5,3.6
BARBASTRO,4,2019,56.8,26.5,-0.1,12.7
BARBASTRO,5,2019,31,30.3,-0.6,16
BARBASTRO,6,2019,11.6,42.2,4.5,22.2
BARBASTRO,7,2019,35.2,39.7,11.5,25.6
BARBASTRO,8,2019,53,39.2,9.9,25
BELCHITE,10,2019,31.8,30.9,6.2,16.3
BELCHITE,2,2019,0.7,23.2,-3.5,7.5
BELCHITE,9,2019,0.2,32.2,10,20.7
BELCHITE,1,2019,15.2,17.5,-7.3,5.8
BELCHITE,3,2019,7.3,25.1,-2.2,11.3
BELCHITE,4,2019,30.1,26.9,-2,12.8
BELCHITE,5,2019,27.4,32.1,2.8,16.9
BELCHITE,6,2019,7.3,42.5,6.2,22.3
BELCHITE,7,2019,9.2,40.9,12.6,25.9
BELCHITE,8,2019,22.9,40.5,12.7,24.9
BELCHITE,11,2019,27.2,25.3,-1.4,10.3
BELCHITE,12,2019,21.9,21.1,-3.6,8
BELLO,9,2019,20,29.3,2.2,16.4
BELLO,11,2019,54.8,20,-3.6,6.7
BELLO,12,2019,25.4,17.1,-6.7,5.7
BELLO,1,2019,13,13.2,-8.8,2.3
BELLO,2,2019,2,20.5,-6.6,5.2
BELLO,3,2019,16.8,23.2,-6.4,6.7
BELLO,4,2019,91.4,21.5,-3.7,8.2
BELLO,5,2019,20.8,27.8,-2.9,11.3
BELLO,6,2019,4.4,37.7,-0.8,18.5
BELLO,7,2019,28.8,36.4,7.2,22.4
BELLO,8,2019,29.8,34.9,6.1,21.3
BELLO,10,2019,34.4,28.2,1.6,13.2
BENABARRE,9,2019,6,28.4,7.4,18.7
BENABARRE,10,2019,152.2,26.8,5.2,14.4
BENABARRE,11,2019,43.4,17.7,-2.9,6.6
BENABARRE,12,2019,62,15.2,-1.9,6.6
BENABARRE,1,2019,21.8,14.6,-5.3,3.3
BENABARRE,2,2019,4.6,20.1,-5.4,7.3
BENABARRE,3,2019,2.8,21,-0.5,9.5
BENABARRE,4,2019,70.4,22.6,-2,10.6
BENABARRE,5,2019,29.8,25.9,-0.4,13.4
BENABARRE,6,2019,31,37.8,4,20.7
BENABARRE,7,2019,43,36.2,10.2,23.3
BENABARRE,8,2019,103.5,34,10.2,22.6
BIELSA,11,2019,253.6,17.2,-5.2,5.1
BIELSA,6,2019,79.4,38.4,1.2,18.2
BIELSA,7,2019,60,36.5,9.1,22
BIELSA,10,2019,189.6,25.6,2.6,12.8
